"Name","max_train_accuracy","fully_adjacent_last_layer","tree_depth","epoch"
"vivid-sweep-176","1","false","2","23"
"misunderstood-sweep-243","1","true","2","24"
"playful-sweep-496","1","false","2","24"
"dry-sweep-670","1","false","2","24"
"soft-sweep-512","1","false","2","24"
"amber-sweep-651","1","true","2","24"
"chocolate-sweep-647","1","true","2","24"
"quiet-sweep-1116","1","true","2","24"
"crimson-sweep-785","1","false","2","24"
"good-sweep-885","1","false","2","24"
"worthy-sweep-510","1","false","2","25"
"fanciful-sweep-476","1","true","2","25"
"fine-sweep-565","1","false","2","25"
"bumbling-sweep-301","1","false","2","25"
"deft-sweep-151","1","false","2","26"
"ruby-sweep-519","1","true","2","26"
"northern-sweep-233","1","true","2","26"
"copper-sweep-81","1","true","2","26"
"flowing-sweep-1031","1","false","2","26"
"solar-sweep-815","1","false","2","27"
"dandy-sweep-1212","1","true","2","27"
"happy-sweep-234","1","false","2","27"
"stellar-sweep-160","1","false","2","27"
"drawn-sweep-240","1","false","2","27"
"lunar-sweep-48","1","false","2","27"
"good-sweep-102","1","true","2","28"
"likely-sweep-717","1","false","2","28"
"rose-sweep-812","1","false","2","28"
"sweepy-sweep-1108","1","false","2","28"
"astral-sweep-1034","1","false","2","28"
"noble-sweep-695","1","false","2","28"
"dauntless-sweep-883","1","false","2","28"
"youthful-sweep-1146","1","false","2","29"
"honest-sweep-178","1","false","2","29"
"neat-sweep-1089","1","false","2","29"
"celestial-sweep-982","1","false","2","29"
"cerulean-sweep-919","1","false","2","29"
"sweet-sweep-428","1","false","2","29"
"devout-sweep-93","1","true","2","29"
"magic-sweep-730","1","false","2","29"
"astral-sweep-995","1","false","2","29"
"rare-sweep-356","1","false","2","29"
"atomic-sweep-974","1","false","2","29"
"logical-sweep-167","1","false","2","29"
"giddy-sweep-614","1","false","2","29"
"whole-sweep-680","1","false","2","30"
"absurd-sweep-990","1","false","2","30"
"earthy-sweep-754","1","false","2","30"
"polar-sweep-1141","1","true","2","30"
"apricot-sweep-1127","1","false","2","30"
"valiant-sweep-1167","1","true","2","30"
"wobbly-sweep-464","1","false","2","30"
"ruby-sweep-453","1","false","2","30"
"noble-sweep-541","1","true","2","30"
"wobbly-sweep-667","1","false","2","30"
"clean-sweep-533","1","true","2","31"
"fanciful-sweep-940","1","true","2","31"
"proud-sweep-54","1","false","2","31"
"whole-sweep-780","1","true","2","31"
"divine-sweep-978","1","true","2","31"
"scarlet-sweep-73","1","true","2","31"
"different-sweep-491","1","true","2","31"
"floral-sweep-158","1","false","2","31"
"glorious-sweep-180","1","true","2","31"
"lemon-sweep-241","1","true","2","31"
"valiant-sweep-756","1","true","2","32"
"fragrant-sweep-941","1","false","2","32"
"decent-sweep-23","1","false","2","32"
"sandy-sweep-999","1","false","2","32"
"scarlet-sweep-371","1","true","2","33"
"easy-sweep-88","1","true","2","33"
"astral-sweep-1196","1","true","2","33"
"ruby-sweep-679","1","false","2","33"
"glad-sweep-1005","1","true","2","33"
"skilled-sweep-1046","1","true","2","33"
"divine-sweep-769","1","true","2","33"
"super-sweep-829","1","false","2","33"
"wild-sweep-1144","1","true","2","33"
"azure-sweep-1083","1","true","2","34"
"stellar-sweep-287","1","true","2","34"
"breezy-sweep-736","1","false","2","34"
"vague-sweep-783","1","true","2","34"
"fanciful-sweep-314","1","false","2","34"
"eager-sweep-649","1","false","2","34"
"spring-sweep-280","1","false","2","34"
"cool-sweep-98","1","false","2","34"
"easy-sweep-433","1","false","2","34"
"fine-sweep-345","1","false","2","34"
"fine-sweep-454","1","false","2","34"
"astral-sweep-1051","1","false","2","34"
"deep-sweep-1208","1","false","2","35"
"drawn-sweep-958","1","true","2","35"
"winter-sweep-818","1","false","2","35"
"dauntless-sweep-223","1","true","2","35"
"crisp-sweep-460","1","true","2","35"
"sleek-sweep-261","1","false","2","35"
"balmy-sweep-1225","1","true","2","35"
"dainty-sweep-1000","1","true","2","35"
"stellar-sweep-214","1","true","2","35"
"dazzling-sweep-739","1","false","2","35"
"feasible-sweep-870","1","true","2","35"
"visionary-sweep-1057","1","false","2","35"
"bright-sweep-913","1","false","2","35"
"helpful-sweep-1152","1","true","2","35"
"misunderstood-sweep-595","1","false","2","35"
"unique-sweep-696","1","true","2","35"
"chocolate-sweep-727","1","false","2","35"
"expert-sweep-2","1","true","2","36"
"dauntless-sweep-244","1","true","2","36"
"glorious-sweep-936","1","false","2","37"
"iconic-sweep-676","1","true","2","37"
"charmed-sweep-372","1","true","2","37"
"glowing-sweep-32","1","false","2","37"
"dutiful-sweep-601","1","true","2","37"
"devoted-sweep-397","1","false","2","37"
"usual-sweep-319","1","true","2","37"
"zesty-sweep-920","1","false","2","37"
"whole-sweep-400","1","false","2","37"
"misty-sweep-322","1","false","2","37"
"dashing-sweep-1001","1","false","2","38"
"daily-sweep-712","1","true","2","38"
"expert-sweep-1086","1","true","2","38"
"happy-sweep-1138","1","false","2","39"
"fanciful-sweep-1098","1","true","2","39"
"earnest-sweep-930","1","true","2","40"
"distinctive-sweep-880","1","false","2","40"
"ethereal-sweep-145","1","false","2","41"
"cerulean-sweep-714","1","true","2","41"
"hardy-sweep-136","1","true","2","42"
"fearless-sweep-130","1","false","2","42"
"glorious-sweep-819","1","true","2","43"
"rosy-sweep-348","1","true","2","43"
"breezy-sweep-822","1","false","2","43"
"earthy-sweep-743","1","true","2","43"
"apricot-sweep-663","1","true","2","44"
"bright-sweep-681","1","true","2","46"
"hardy-sweep-1143","1","true","2","48"
"comfy-sweep-484","1","true","2","48"
"fresh-sweep-626","1","true","2","48"
"dutiful-sweep-326","1","false","2","48"
"fine-sweep-618","1","true","2","49"
"sweet-sweep-604","1","true","2","49"
"zany-sweep-686","1","true","2","50"
"still-sweep-434","1","true","2","52"
"autumn-sweep-239","1","true","2","52"
"atomic-sweep-76","1","true","2","52"
"dulcet-sweep-78","1","true","2","54"
"lucky-sweep-611","1","true","2","54"
"devout-sweep-259","1","true","2","55"
"true-sweep-134","1","true","2","56"
"rural-sweep-215","1","true","2","58"
"lilac-sweep-952","1","true","2","58"
"graceful-sweep-207","1","true","2","59"
"rosy-sweep-328","1","true","2","60"
"ruby-sweep-65","1","true","2","60"
"comfy-sweep-910","1","true","2","71"
"deep-sweep-295","1","true","2","71"
"lucky-sweep-1097","1","false","3","75"
"amber-sweep-616","1","true","2","87"
"royal-sweep-1055","1","false","3","89"
"sage-sweep-197","1","false","3","104"
"leafy-sweep-486","1","false","3","106"
"deft-sweep-1030","1","false","3","121"
"peachy-sweep-149","1","false","3","123"
"vibrant-sweep-887","1","false","3","124"
"morning-sweep-567","1","false","3","126"
"frosty-sweep-379","1","false","3","133"
"fanciful-sweep-856","1","false","3","133"
"pretty-sweep-942","1","false","3","140"
"silvery-sweep-373","1","true","3","143"
"apricot-sweep-711","1","false","3","148"
"vibrant-sweep-782","1","true","3","153"
"sweepy-sweep-866","1","false","3","156"
"faithful-sweep-127","1","false","3","161"
"fanciful-sweep-561","1","false","3","169"
"good-sweep-530","1","true","3","173"
"breezy-sweep-459","1","false","3","176"
"colorful-sweep-690","1","false","3","177"
"lucky-sweep-343","1","false","3","178"
"sleek-sweep-174","1","false","3","181"
"volcanic-sweep-154","1","false","3","183"
"polar-sweep-669","1","false","3","188"
